V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16
cell_1723	0	0	2	0	0	0	2	0	3	0	0	2	2	2	2	0
cell_1786	0	0	0	0	0	0	2	0	0	0	2	0	2	2	0	2
cell_1926	2	0	0	0	0	0	0	2	0	2	0	3	2	2	0	5
cell_1027	0	0	0	0	2	0	0	0	2	0	2	0	2	2	19	2
cell_1190	3	0	12	0	0	0	0	0	0	2	0	0	2	2	0	0
cell_801	2	9	0	5	0	2	2	2	2	2	0	0	0	6	2	5
cell_1206	3	0	12	0	0	0	0	0	0	0	0	0	2	2	0	0
cell_1091	0	2	2	0	0	0	0	0	0	0	0	0	2	2	0	2
cell_1306	0	0	0	2	0	0	0	8	2	5	0	0	2	2	0	0
cell_1837	2	0	57	0	0	0	0	0	0	2	2	0	2	2	0	2
cell_1305	0	0	0	2	0	0	0	8	2	5	0	0	2	2	0	0
cell_1911	2	0	57	0	0	0	0	0	0	0	0	0	2	2	0	2
cell_467	28	2	3	5	4	2	0	0	2	0	0	0	0	0	0	0
cell_1378	0	0	2	3	0	0	0	0	2	0	2	2	2	2	2	0
cell_1597	0	0	5	5	21	0	2	0	0	0	0	0	2	2	0	0
cell_1036	0	0	0	0	2	0	0	0	2	0	3	0	2	2	19	2
cell_561	0	0	0	5	0	3	0	0	6	10	0	0	2	0	5	0
cell_207	2	2	0	5	0	5	19	2	3	0	5	2	0	2	0	2
cell_1050	0	0	0	0	0	0	0	0	2	0	0	0	2	2	19	2
cell_1811	2	0	57	0	0	0	0	0	0	0	2	0	2	2	2	2
cell_545	0	0	0	5	0	0	0	0	0	0	0	2	0	0	5	2
cell_113	0	2	0	5	0	21	0	2	0	5	3	0	0	0	0	0
cell_1814	2	0	57	0	2	0	0	0	0	2	2	0	2	2	0	2
cell_1891	2	0	57	0	0	12	0	0	0	0	0	0	2	2	0	2
cell_979	0	4	0	5	0	3	2	0	15	0	0	0	0	0	0	0
cell_459	28	2	0	5	4	2	0	0	2	0	0	0	12	0	2	0
cell_469	28	2	0	5	4	2	0	0	2	0	0	0	0	0	0	0
cell_1687	0	0	2	0	0	0	2	0	0	0	0	0	2	2	2	0
cell_1979	2	0	0	0	0	0	0	0	0	3	0	4	2	2	0	0
cell_1447	0	0	0	4	0	0	0	2	2	2	0	3	2	2	2	0
cell_230	0	2	0	5	0	23	19	2	0	0	0	2	5	2	0	0
cell_1947	2	0	5	0	0	3	2	4	0	0	0	2	2	2	6	0
cell_1778	0	0	0	0	0	2	2	0	2	0	2	0	2	2	0	2
cell_1217	0	2	0	0	0	0	5	0	0	5	0	0	2	2	0	0
cell_1725	0	0	0	0	0	0	2	0	3	3	0	2	2	2	2	0
cell_1015	0	0	0	5	0	0	2	0	15	0	0	0	0	0	5	0
cell_831	2	9	2	5	0	0	2	0	5	0	0	0	0	6	0	0
cell_1377	0	0	2	3	0	0	0	0	2	0	2	2	2	2	2	0
cell_1385	0	0	2	3	0	0	5	2	2	0	2	2	2	2	0	0
cell_1928	2	0	0	0	0	0	0	2	0	2	0	4	2	2	0	5
cell_405	28	2	2	5	0	2	0	0	2	0	0	0	0	0	0	2
cell_275	28	2	0	5	2	2	0	0	0	0	0	0	0	0	5	2
cell_203	2	2	0	5	0	5	19	2	3	2	5	2	0	2	0	2
cell_1673	0	0	0	0	0	0	2	2	0	26	0	0	2	2	0	0
cell_1649	5	0	2	0	0	0	2	0	0	0	2	0	2	2	0	2
cell_619	2	2	0	5	0	2	2	0	4	0	0	0	2	0	0	0
cell_1057	2	3	0	0	3	0	0	0	0	0	2	0	2	2	19	2
cell_1959	2	0	0	0	0	0	2	0	0	0	0	2	2	2	0	0
cell_502	28	2	2	5	0	2	0	0	2	0	0	0	0	0	0	0
cell_529	2	0	0	5	0	0	0	0	0	0	0	0	0	0	5	2
cell_1241	2	2	2	0	0	5	5	3	0	0	0	0	2	2	5	0
cell_1827	2	0	57	0	0	0	0	0	0	2	2	0	2	2	0	2
cell_661	0	0	0	5	0	0	2	4	2	0	0	0	0	2	0	0
cell_1924	2	0	0	0	0	0	0	2	0	2	9	0	2	2	0	5
cell_29	0	2	0	5	2	21	0	0	0	0	2	0	0	0	0	0
cell_101	3	2	0	5	0	21	0	2	0	0	0	0	0	0	2	0
cell_741	0	0	0	5	0	0	0	0	0	5	0	2	0	0	4	0
cell_1406	0	0	2	0	0	0	0	0	2	0	2	2	2	2	0	0
