"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"cell_506","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"cell_944","2","14","2","12","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_865","2","14","2","2","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_723","2","14","2","3","-","-","-","-","-","-","-","-","-","3","11","5"
"cell_271","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"cell_85","-","-","-","-","-","-","-","-","-","5","-","-","-","-","2","2"
"cell_215","-","-","-","-","-","-","-","-","-","3","-","-","-","-","2","5"
"cell_688","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"cell_412","-","-","-","-","-","-","-","-","-","5","-","-","-","-","0","0"
"cell_208","-","-","-","-","-","-","-","-","-","3","-","-","-","-","2","5"
"cell_300","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"cell_709","2","14","2","3","-","-","-","-","-","-","-","-","-","3","11","5"
"cell_803","2","14","2","3","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_810","2","14","2","3","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_720","3","14","2","3","-","-","-","-","-","-","-","-","-","3","11","5"
"cell_958","2","14","2","12","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_873","2","14","2","2","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_961","2","14","2","5","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_81","-","-","-","-","-","-","-","-","-","5","-","-","-","-","2","2"
"cell_220","-","-","-","-","-","-","-","-","-","3","-","-","-","-","2","5"
"cell_784","2","14","2","3","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_1009","2","14","2","0","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_487","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"cell_699","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"cell_877","2","14","2","2","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_472","-","-","-","-","-","-","-","-","-","5","-","-","-","-","15","2"
"cell_169","-","-","-","-","-","-","-","-","-","3","-","-","-","-","2","3"
"cell_809","2","14","2","3","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_435","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"cell_761","2","14","2","5","-","-","-","-","-","-","-","-","-","3","11","5"
"cell_99","-","-","-","-","-","-","-","-","-","38","-","-","-","-","2","2"
